English,hi,bn,te,mr,ta,gu,kn,ml,pa,or,as,ur,sa,ne,kok,mai,doi,bodo,sd,ks,mni,sat
Advanced degeneration pattern,उन्नत अपक्षय (डिजेनरेशन) पैटर्न,অগ্রসর ক্ষয়ের ধরন,ముదిరిన క్షీణత నమూనా,प्रगत झीज पद्धत,மேம்பட்ட சிதைவு முறை,અદ્યતન ઘસારાની પેટર્ન,ಮುಂದುವರಿದ ಸವೆತದ ಮಾದರಿ,പുരോഗമിച്ച ശോഷണ മാതൃക,ਉੱਨਤ ਘਸਾਅ ਦਾ ਨਮੂਨਾ,ଅଗ୍ରସର ଅବକ୍ଷୟ ଢାଞ୍ଚା,উন্নত ক্ষয়ৰ আৰ্হি,ترقی یافتہ تنزلی کا نمونہ,प्रगतक्षयप्रतिरूपम्,उन्नत क्षयको ढाँचा,,उन्नत क्षरण प्रतिरूप,उन्नत क्षरण ढांचा,,ترقي يافته ٽٽڻ جو نمونو,,,
Advanced tracking & insights,उन्नत ट्रैकिंग और जानकारी,উন্নত ট্র্যাকিং ও বিশ্লেষণ,అధునాతన ట్రాకింగ్ & విశ్లేషణలు,प्रगत ट्रॅकिंग आणि माहिती,மேம்பட்ட கண்காணிப்பு & நுண்ணறிவுகள்,અદ્યતન ટ્રેકિંગ અને આંતરદૃષ્ટિ,ಸುಧಾರಿತ ಟ್ರ್ಯಾಕಿಂಗ್ ಮತ್ತು ಒಳನೋಟಗಳು,നൂതന ട്രാക്കിംഗും ഉൾക്കാഴ്ചകളും,ਉੱਨਤ ਟਰੈਕਿੰਗ ਅਤੇ ਜਾਣਕਾਰੀ,ଉନ୍ନତ ଟ୍ରାକିଂ ଓ ଅନ୍ତର୍ଦୃଷ୍ଟି,উন্নত ট্ৰেকিং আৰু অন্তৰ্দৃষ্টি,جدید ٹریکنگ اور بصیرت,प्रगतम् अनुसरणं अन्तर्दृष्टयश्च,उन्नत ट्र्याकिङ र अन्तर्दृष्टि,,उन्नत ट्रैकिंग आ अंतर्दृष्टि,उन्नत ट्रैकिंग ते जानकारी,,ترقي يافته ٽريڪنگ ۽ بصيرت,,,
Age,उम्र,বয়স,వయసు,वय,வயது,ઉંમર,ವಯಸ್ಸು,പ്രായം,ਉਮਰ,ବୟସ,বয়স,عمر,वयः,उमेर,वय,उमेर,उमर,बैसो,عمر,عُمر,চহি,ᱩᱢᱮᱨ
Age · Sex,उम्र · लिंग,বয়স · লিঙ্গ,వయసు · లింగం,वय · लिंग,வயது · பாலினம்,ઉંમર · લિંગ,ವಯಸ್ಸು · ಲಿಂಗ,പ്രായം · ലിംഗം,ਉਮਰ · ਲਿੰਗ,ବୟସ · ଲିଙ୍ଗ,বয়স · লিংগ,عمر · جنس,वयः · लिङ्गम्,उमेर · लिङ्ग,वय · लिंग,उमेर · लिंग,उमर · लिंग,बैसो · लिंगो,عمر · جنس,عُمر · جِنس,চহি · নুপা/নুপী,ᱩᱢᱮᱨ · ᱡᱟᱱᱟᱢ
Age-specific spine pattern,उम्र-विशिष्ट रीढ़ पैटर्न,বয়স-নির্দিষ্ট মেরুদণ্ডের ধরন,వయసు-నిర్దిష్ట వెన్నెముక నమూనా,वय-विशिष्ट मणका पद्धत,வயதுக்கேற்ற முதுகுத்தண்டு முறை,ઉંમર-આધારિત કરોડરજ્જુ પેટર્ન,ವಯಸ್ಸಿಗೆ ಅನುಗುಣವಾದ ಬೆನ್ನುಮೂಳೆ ಮಾದರಿ,പ്രായാധിഷ്ഠിത നട്ടെല്ല് മാതൃക,ਉਮਰ-ਅਨੁਸਾਰ ਰੀੜ੍ਹ ਦਾ ਨਮੂਨਾ,ବୟସ-ନିର୍ଦ୍ଦିଷ୍ଟ ମେରୁଦଣ୍ଡ ଢାଞ୍ଚା,বয়স-নিৰ্দিষ্ট মেৰুদণ্ডৰ আৰ্হি,عمر کے لحاظ سے ریڑھ کی ہڈی کا نمونہ,वयोनिर्दिष्टं मेरुप्रतिरूपम्,उमेर-अनुसारको मेरुदण्ड ढाँचा,,उमेर-विशिष्ट रीढ़ प्रतिरूप,उमर-विशेष रीढ़ ढांचा,,عمر مطابق ريڙهه جي هڏي جو نمونو,,,
An irritated nerve in the lower back sends pain down the leg — like a current,पीठ के निचले हिस्से की एक उत्तेजित नस पैर तक दर्द भेजती है — जैसे करंट,কোমরের একটি উত্তেজিত স্নায়ু পায়ে ব্যথা পাঠায় — বিদ্যুৎ প্রবাহের মতো,నడుములోని చికాకుపడిన నరం కాలులోకి నొప్పిని పంపుతుంది — విద్యుత్ ప్రవాహంలా,कंबरेतील चिडलेली नस पायात वेदना पाठवते — विजेच्या प्रवाहासारखी,கீழ் முதுகில் எரிச்சலடைந்த நரம்பு கால் வழியே மின்னோட்டம் போல வலியை அனுப்புகிறது,કમરમાંની ઉત્તેજિત નસ પગ સુધી દુખાવો મોકલે છે — જાણે કે વીજપ્રવાહ,ಸೊಂಟದಲ್ಲಿನ ಕಿರಿಕಿರಿಗೊಂಡ ನರವು ಕಾಲಿನ ಕೆಳಗೆ ನೋವನ್ನು ಕಳುಹಿಸುತ್ತದೆ — ಒಂದು ವಿದ್ಯುತ್ ಪ್ರವಾಹದಂತೆ,നടുവിലെ ഒരു ഞരമ്പ് ക്ഷോഭിക്കുമ്പോൾ കാലിലേക്ക് — വൈദ്യുതി പോലെ — വേദന അയയ്ക്കുന്നു,ਹੇਠਲੀ ਪਿੱਠ ਦੀ ਇੱਕ ਚਿੜਚਿੜੀ ਨਸ ਲੱਤ ਵੱਲ ਦਰਦ ਭੇਜਦੀ ਹੈ — ਜਿਵੇਂ ਕਰੰਟ,ତଳ ପିଠିର ଏକ ଉତ୍ତେଜିତ ସ୍ନାୟୁ ବେଦନାକୁ ଗୋଡ଼ ତଳକୁ ପଠାଏ — ଯେପରି ଏକ କରେଣ୍ଟ୍,কঁকালৰ এটা উত্তেজিত স্নায়ুৱে ঠেঙলৈ বিষ পঠিয়ায় — এটা কাৰেণ্টৰ দৰে,کمر کی ایک متاثرہ نس درد کو ٹانگ تک بھیجتی ہے — جیسے ایک کرنٹ,कटौ उत्तेजितः स्नायुः पादं प्रति पीडां प्रेषयति — विद्युत्प्रवाहः इव,कम्मरको चिडचिडाएको नसाले खुट्टातिर पीडा पठाउँछ — करेन्ट जस्तै,कमरेच्या पाठींतलो चिडलोलो नर्व पायांकडेन दुखावो धाडटा — विजेच्या प्रवाहावरी,निचला पीठक एकटा उत्तेजित नस गोड़ धरि दर्द भेजैत अछि — करेंट जकाँ,लंबे दे हेठले हिस्से च इक चिड़चिड़ी नस लत्त च दर्द भेजदी ऐ — करंट दे जनेहा,,ڪمر ۾ هڪ پريشان ٿيل نس ٽنگ ڏانهن درد موڪلي ٿي — ڪرنٽ وانگر,واریِ پؠٹھٕ اکھ ناراض رگ درد ٹینٛگہ کُن بَجِ — کرنٹَس ہِو,মখোংগী নুংগীদা ইরিতেট ওইরবা নর্ভ অমনা খোঙদা অনাবা থাহল্লি — চরেন্ত অমগুম্না,ᱞᱟᱛᱟᱨ ᱪᱮᱛᱟᱱ ᱨᱮᱱ ᱨᱟᱜᱮ ᱱᱟᱲᱤ ᱫᱚ ᱡᱟᱝᱜᱟ ᱥᱮᱫ ᱦᱟᱥᱩ ᱠᱩᱞ ᱮᱫᱟ — current ᱞᱮᱠᱟ
Any of these apply?,क्या इनमें से कोई लागू होता है?,এর কোনোটি প্রযোজ্য?,వీటిలో ఏవైనా వర్తిస్తాయా?,यापैकी काही लागू होते का?,இவற்றில் ஏதேனும் பொருந்துமா?,આમાંથી કોઈ લાગુ પડે છે?,ಇವುಗಳಲ್ಲಿ ಯಾವುದಾದರೂ ಅನ್ವಯಿಸುತ್ತದೆಯೇ?,ഇവയിൽ ഏതെങ്കിലും ബാധകമാണോ?,ਕੀ ਇਹਨਾਂ ਵਿੱਚੋਂ ਕੋਈ ਲਾਗੂ ਹੁੰਦਾ ਹੈ?,ଏଥିମଧ୍ୟରୁ କୌଣସିଟି ଆପଣଙ୍କ କ୍ଷେତ୍ରରେ ପ୍ରଯୁଜ୍ୟ କି?,ইয়াৰে কোনোটো প্ৰযোজ্য নেকি?,کیا ان میں سے کوئی لاگو ہوتا ہے؟,एतेषु किमपि प्रयुज्यते वा?,यीमध्ये कुनै लागू हुन्छ?,हांतलें खंयचेंय लागू जाता?,एहिमे सँ कोनो लागू अछि?,इनें चा कोई लागू होंदा ऐ?,बेफोरनिफ्राय जेबाबो थांनाय?,انهن مان ڪا به ڳالهه لاڳو ٿئي ٿي؟,یِمن مَنٛز کانٛہہ لاگوٗ چھُ؟,মসিসিংগী মনুংদা য়াওরিবরা?,ᱱᱚᱶᱟ ᱠᱚ ᱡᱟᱦᱟᱸ ᱢᱤᱫ ᱦᱩ ᱞᱟᱹᱜᱩ ᱦᱩᱭᱩᱜ-ᱟ?
Any red flag can signal serious pathology and means urgent medical review.,कोई भी रेड फ्लैग गंभीर विकृति का संकेत हो सकता है और इसका अर्थ है तुरंत चिकित्सा समीक्षा।,যেকোনো লাল সংকেত গুরুতর রোগের ইঙ্গিত দিতে পারে এবং জরুরি চিকিৎসা পর্যালোচনা প্রয়োজন।,"ఏ ప్రమాద సంకేతమైనా తీవ్రమైన వ్యాధిని సూచించవచ్చు, దానికి తక్షణ వైద్య పరిశీలన అవసరం.",कोणताही धोक्याचा इशारा गंभीर आजार दर्शवू शकतो आणि तातडीने वैद्यकीय तपासणी आवश्यक असते.,"எந்த எச்சரிக்கை அறிகுறியும் தீவிர நோய்நிலையைக் குறிக்கலாம், அவசர மருத்துவ பரிசோதனை தேவை.",કોઈપણ ચેતવણી-ચિહ્ન ગંભીર બીમારી સૂચવી શકે છે અને તાત્કાલિક તબીબી તપાસ જરૂરી બને છે.,ಯಾವುದೇ ಕೆಂಪು ಗುರುತು ಗಂಭೀರ ಕಾಯಿಲೆಯನ್ನು ಸೂಚಿಸಬಹುದು ಮತ್ತು ತುರ್ತು ವೈದ್ಯಕೀಯ ಪರಿಶೀಲನೆ ಅಗತ್ಯ ಎಂದರ್ಥ.,ഏതൊരു അപായസൂചനയും ഗുരുതരമായ രോഗത്തെ കാണിക്കാം; ഉടനടി വൈദ്യപരിശോധന ആവശ്യമാണ്.,ਕੋਈ ਵੀ ਚੇਤਾਵਨੀ ਨਿਸ਼ਾਨੀ ਗੰਭੀਰ ਬਿਮਾਰੀ ਦਾ ਸੰਕੇਤ ਦੇ ਸਕਦੀ ਹੈ ਅਤੇ ਤੁਰੰਤ ਮੈਡੀਕਲ ਜਾਂਚ ਦੀ ਲੋੜ ਦੱਸਦੀ ਹੈ।,ଯେକୌଣସି ସତର୍କ ସଙ୍କେତ ଗମ୍ଭୀର ରୋଗ ଦର୍ଶାଇ ପାରେ ଏବଂ ତୁରନ୍ତ ଚିକିତ୍ସା ସମୀକ୍ଷା ଆବଶ୍ୟକ କରେ।,যিকোনো ৰেড ফ্লেগে গুৰুতৰ ৰোগ সংকেত দিব পাৰে আৰু ইয়াৰ অৰ্থ হৈছে তৎকালীন চিকিৎসা পৰীক্ষা।,کوئی بھی خطرے کی علامت سنگین بیماری کا اشارہ ہو سکتی ہے اور فوری طبی معائنہ ضروری ہے۔,"किमपि रक्तध्वजचिह्नं गम्भीररोगं सूचयेत्, तत् च तत्क्षणं वैद्यपरीक्षणम् आवश्यकं करोति।",कुनै पनि रेड फ्ल्यागले गम्भीर रोग संकेत गर्न सक्छ र तुरुन्त चिकित्सकीय जाँच आवश्यक भएको जनाउँछ।,खंयचोय रेड फ्लॅग गंभीर रोगाचें चिन्ह आसूंक शकता आनी ताका तातडीची वैजकी तपासणी जाय.,कोनो रेड फ्लैग गंभीर रोगक संकेत भऽ सकैत अछि आ तत्काल चिकित्सकीय समीक्षाक माने राखैत अछि।,कोई बी लाल झंडा गंभीर रोग दा संकेत होई सकदा ऐ ते तुरंत डाक्टरी जांच दी लोड़ ऐ।,,ڪو به ڳاڙهو نشان سنجيده بيماري جو اشارو ڪري سگهي ٿو ۽ ان جو مطلب فوري طبي جانچ آهي.,کانٛہہ ریٚڈ فلیگ سنجیٖدہ بیماری ہاوِتھ ہؠکِ تہٕ تہِ مطلب فوری طبی جانٛچ,Red flag অমা হেক্তা থম্মোয় শোকনিংঙাই ওইবা লায়না অমা ওইবা য়াই অমসুং ময়াম্না দাক্তরগী থুনা মীৎয়েং তৌবা মথৌ তাই।,ᱡᱟᱦᱟᱸ red flag ᱫᱚ ᱢᱟᱨᱟᱝ ᱨᱳᱜ ᱩᱫᱩᱜ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ ᱟᱨ ᱡᱷᱚᱛ ᱰᱟᱠᱴᱚᱨ ᱧᱮᱞ ᱞᱟᱹᱠᱛᱤ᱾
Assessed,आकलन किया गया,মূল্যায়িত,అంచనా వేయబడింది,मूल्यांकन केले,மதிப்பிடப்பட்டது,મૂલ્યાંકન થયું,ಮೌಲ್ಯಮಾಪನ ಮಾಡಲಾಗಿದೆ,വിലയിരുത്തി,ਜਾਂਚਿਆ ਗਿਆ,ମୂଲ୍ୟାଙ୍କିତ,মূল্যায়িত,جانچا گیا,मूल्यांकितम्,मूल्यांकन गरिएको,तपासिल्लें,मूल्यांकित,आकलन कीता,बिजिरबाय,جانچ ٿيل,جانٛچ کرنہٕ آمُت,য়েংশিনখ্রে,
BMI,,বিএমআই,,,,,,,,,বিএমআই,,,,,,,,,,,
Back pain,पीठ दर्द,কোমর ব্যথা,వెన్నునొప్పి,कंबरदुखी,முதுகு வலி,કમરનો દુખાવો,ಬೆನ್ನು ನೋವು,നടുവേദന,ਪਿੱਠ ਦਰਦ,ପିଠି ବେଦନା,কঁকালৰ বিষ,کمر درد,कटिपीडा,कम्मर दुखाइ,पाठीचो दुखावो,पीठ दर्द,लंबे दा दर्द,पिठिनि बेदाय,ڪمر جو درد,واریُک درد,মখোংগী অনাবা,ᱫᱮᱭᱟ ᱦᱟᱥᱩ
Back pain (VAS),पीठ दर्द (VAS),কোমর ব্যথা (VAS),వెన్నునొప్పి (VAS),कंबरदुखी (VAS),முதுகு வலி (VAS),કમરનો દુખાવો (VAS),ಬೆನ್ನು ನೋವು (VAS),നടുവേദന (VAS),ਪਿੱਠ ਦਰਦ (VAS),ପିଠି ବେଦନା (VAS),কঁকালৰ বিষ (VAS),کمر درد (VAS),कटिपीडा (VAS),कम्मर दुखाइ (VAS),पाठीचो दुखावो (VAS),पीठ दर्द (VAS),लंबे दा दर्द (VAS),पिठिनि बेदाय (VAS),ڪمر جو درد (VAS),واریُک درد (VAS),মখোংগী অনাবা (VAS),ᱫᱮᱭᱟ ᱦᱟᱥᱩ (VAS)
BackSignal points,BackSignal अंक,BackSignal পয়েন্ট,BackSignal పాయింట్లు,BackSignal गुण,BackSignal புள்ளிகள்,BackSignal પોઇન્ટ,BackSignal ಅಂಕಗಳು,BackSignal പോയിന്റുകൾ,BackSignal ਪੁਆਇੰਟ,BackSignal ପଏଣ୍ଟ,BackSignal পইণ্ট,BackSignal پوائنٹس,BackSignal अंकाः,BackSignal अंक,BackSignal गुण,BackSignal अंक,BackSignal अंक,,BackSignal پوائنٽون,BackSignal پوائنٹ,BackSignal পোইন্ত,
Begin assessment,आकलन शुरू करें,মূল্যায়ন শুরু করুন,అంచనా ప్రారంభించండి,मूल्यांकन सुरू करा,மதிப்பீட்டைத் தொடங்கு,મૂલ્યાંકન શરૂ કરો,ಮೌಲ್ಯಮಾಪನ ಪ್ರಾರಂಭಿಸಿ,വിലയിരുത്തൽ ആരംഭിക്കുക,ਜਾਂਚ ਸ਼ੁਰੂ ਕਰੋ,ମୂଲ୍ୟାଙ୍କନ ଆରମ୍ଭ କରନ୍ତୁ,মূল্যায়ন আৰম্ভ কৰক,تشخیص شروع کریں,मूल्यांकनम् आरभताम्,मूल्यांकन सुरु गर्नुहोस्,तपासणी सुरू करात,मूल्यांकन शुरू करू,आकलन शुरू करो,बिजिरनाय जागायनाय,معائنو شروع ڪريو,جانٛچ شروٗع کریو,অসেসমেন্ত হৌদোক্কৎলু,ᱧᱮᱞ ᱮᱦᱚᱵ
Body load,शारीरिक भार,শরীরের ভার,శరీర భారం,शरीराचा भार,உடல் சுமை,શરીરનો ભાર,ದೇಹದ ಭಾರ,ശരീരഭാരം,ਸਰੀਰ ਦਾ ਭਾਰ,ଶରୀର ଭାର,শৰীৰৰ ভাৰ,جسمانی بوجھ,देहभारः,शरीरको भार,,शरीरक भार,शरीर भार,देहानि लोड,جسماني بار,جِسمُک بوجھ,হকচাংগী পোৎলুম,ᱦᱚᱲᱢᱚ ᱵᱷᱟᱨ
Body load (BMI),शारीरिक भार (BMI),শরীরের ভার (বিএমআই),శరీర భారం (BMI),शरीराचा भार (BMI),உடல் சுமை (BMI),શરીરનો ભાર (BMI),ದೇಹದ ಭಾರ (BMI),ശരീരഭാരം (BMI),ਸਰੀਰ ਦਾ ਭਾਰ (BMI),ଶରୀର ଭାର (BMI),শৰীৰৰ ভাৰ (BMI),جسمانی بوجھ (BMI),देहभारः (BMI),शरीरको भार (BMI),,शरीरक भार (BMI),शरीर भार (BMI),देहानि लोड (BMI),جسماني بار (BMI),جِسمُک بوجھ (BMI),হকচাংগী পোৎলুম (BMI),ᱦᱚᱲᱢᱚ ᱵᱷᱟᱨ (BMI)
Built on the Spine Severity System (SSS),Spine Severity System (SSS) पर आधारित,Spine Severity System (SSS)-এর উপর নির্মিত,Spine Severity System (SSS) ఆధారంగా రూపొందించబడింది,Spine Severity System (SSS) वर आधारित,Spine Severity System (SSS) அடிப்படையில்,Spine Severity System (SSS) પર આધારિત,ಸ್ಪೈನ್ ಸಿವಿಯರಿಟಿ ಸಿಸ್ಟಮ್ (SSS) ಆಧಾರದ ಮೇಲೆ ನಿರ್ಮಿಸಲಾಗಿದೆ,Spine Severity System (SSS) അടിസ്ഥാനമാക്കി,Spine Severity System (SSS) 'ਤੇ ਆਧਾਰਿਤ,Spine Severity System (SSS) ଉପରେ ଆଧାରିତ,Spine Severity System (SSS)ৰ ওপৰত নিৰ্মিত,Spine Severity System (SSS) پر مبنی,Spine Severity System (SSS) इत्यस्मिन् निर्मितम्,Spine Severity System (SSS) मा आधारित,Spine Severity System (SSS) चेर आदारीत,Spine Severity System (SSS) पर आधारित,Spine Severity System (SSS) पर आधारित,,Spine Severity System (SSS) تي ٻڌل,Spine Severity System (SSS) پؠٹھٕ بنامُت,Spine Severity System (SSS) গী মথক্তা শাবা,Spine Severity System (SSS) ᱪᱮᱛᱟᱱ ᱨᱮ ᱛᱮᱭᱟᱨ
Calibrates your score to your age and body load. Lower-back focus only.,आपके स्कोर को आपकी उम्र और शारीरिक भार के अनुसार समायोजित करता है। केवल पीठ के निचले हिस्से पर केंद्रित।,আপনার স্কোরকে আপনার বয়স ও শরীরের ভারের সাথে সমন্বয় করে। শুধুমাত্র কোমরের উপর ফোকাস।,"మీ స్కోర్‌ను మీ వయసు, శరీర భారానికి అనుగుణంగా సర్దుబాటు చేస్తుంది. నడుముపై మాత్రమే దృష్టి.",तुमचा स्कोअर तुमच्या वयानुसार आणि शरीराच्या भारानुसार जुळवतो. फक्त कंबरेवर केंद्रित.,உங்கள் வயது மற்றும் உடல் சுமைக்கு ஏற்ப உங்கள் மதிப்பெண்ணை சீரமைக்கிறது. கீழ் முதுகில் மட்டுமே கவனம்.,તમારા સ્કોરને તમારી ઉંમર અને શરીરના ભાર પ્રમાણે ગોઠવે છે. ફક્ત કમર પર કેન્દ્રિત.,ನಿಮ್ಮ ವಯಸ್ಸು ಮತ್ತು ದೇಹದ ಭಾರಕ್ಕೆ ನಿಮ್ಮ ಸ್ಕೋರ್ ಅನ್ನು ಹೊಂದಿಸುತ್ತದೆ. ಸೊಂಟದ ಮೇಲೆ ಮಾತ್ರ ಗಮನ.,നിങ്ങളുടെ പ്രായത്തിനും ശരീരഭാരത്തിനും അനുസരിച്ച് സ്കോർ ക്രമീകരിക്കുന്നു. നടുവ് മാത്രം കേന്ദ്രീകരിച്ച്.,ਤੁਹਾਡੇ ਸਕੋਰ ਨੂੰ ਤੁਹਾਡੀ ਉਮਰ ਅਤੇ ਸਰੀਰ ਦੇ ਭਾਰ ਨਾਲ ਮੇਲਦਾ ਹੈ। ਸਿਰਫ਼ ਹੇਠਲੀ ਪਿੱਠ 'ਤੇ ਕੇਂਦਰਿਤ।,ଆପଣଙ୍କ ସ୍କୋରକୁ ଆପଣଙ୍କ ବୟସ ଓ ଶରୀର ଭାର ଅନୁଯାୟୀ ସଜାଡ଼େ। କେବଳ ତଳ ପିଠି ଉପରେ କେନ୍ଦ୍ରିତ।,আপোনাৰ স্ক'ৰক আপোনাৰ বয়স আৰু শৰীৰৰ ভাৰৰ সৈতে খাপ খুৱায়। কেৱল কঁকালত গুৰুত্ব।,آپ کے اسکور کو آپ کی عمر اور جسمانی بوجھ کے مطابق ترتیب دیتا ہے۔ صرف کمر پر توجہ۔,तव अंकं तव वयसा देहभारेण च समायोजयति। केवलं कटिकेन्द्रितम्।,तपाईंको स्कोरलाई उमेर र शरीरको भारअनुसार मिलाउँछ। केवल कम्मरमा केन्द्रित।,तुमचो स्कोर तुमच्या वयाक आनी body load क sarko करता. फकत कमरेच्या पाठीचेर लक्ष.,अहाँक स्कोरकेँ अहाँक उमेर आ शरीरक भारक अनुसार समायोजित करैत अछि। केवल निचला पीठ पर केन्द्रित।,तुंदे अंक गी तुंदी उमर ते शरीर भार कन्ने मिलांदा ऐ। सिर्फ लंबे दे हेठले हिस्से पर ध्यान।,,توهان جي اسڪور کي توهان جي عمر ۽ جسماني بار مطابق ترتيب ڏئي ٿو. صرف ڪمر تي ڌيان.,توہنٛد سکور توہنٛدِ عُمرٕ تہٕ جِسمَکِ بوجھَس مطابق کرٛان۔ صرف واریِ پؠٹھٕ توجہ,নহাক্কী স্কোর অসি নহাক্কী চহি অমসুং হকচাংগী পোৎলুমদা চানহল্লি। মখোংগী মখোংদখক্তা মীৎয়েং থম্মি।,ᱟᱢᱟᱜ score ᱫᱚ ᱟᱢᱟᱜ ᱩᱢᱮᱨ ᱟᱨ ᱦᱚᱲᱢᱚ ᱵᱷᱟᱨ ᱞᱮᱠᱟᱛᱮ calibrate ᱮᱫᱟ᱾ ᱞᱟᱛᱟᱨ ᱪᱮᱛᱟᱱ ᱨᱮ ᱜᱮ᱾
